V1	N	db
ZNF282	2997	ChIP-Atlas
ZNF3	2483	ChIP-Atlas
ZNF311	343	ChIP-Atlas
ZNF316	5662	ChIP-Atlas
ZNF318	5361	ChIP-Atlas
ZNF319	621	ChIP-Atlas
ZNF324	3050	ChIP-Atlas
ZNF354B	467	ChIP-Atlas
ZNF384	11668	ChIP-Atlas
ZNF395	8196	ChIP-Atlas
ZNF397	83	ChIP-Atlas
ZNF407	11091	ChIP-Atlas
ZNF408	34	ChIP-Atlas
ZNF41	156	ChIP-Atlas
ZNF436	155	ChIP-Atlas
ZNF444	4716	ChIP-Atlas
ZNF445	55	ChIP-Atlas
ZNF507	825	ChIP-Atlas
ZNF512	1623	ChIP-Atlas
ZNF583	654	ChIP-Atlas
ZNF584	2828	ChIP-Atlas
ZNF589	4252	ChIP-Atlas
ZNF592	6087	ChIP-Atlas
ZNF639	9848	ChIP-Atlas
ZNF644	5096	ChIP-Atlas
ZNF696	15	ChIP-Atlas
ZNF700	39	ChIP-Atlas
ZNF740	4584	ChIP-Atlas
ZNF75A	127	ChIP-Atlas
ZNF76	7992	ChIP-Atlas
ZNF764	155	ChIP-Atlas
ZNF766	9620	ChIP-Atlas
ZNF77	41	ChIP-Atlas
ZNF79	43	ChIP-Atlas
ZNF83	8350	ChIP-Atlas
ZNF830	2097	ChIP-Atlas
ZSCAN29	6044	ChIP-Atlas
